year,id_,happy,hapmar,health,life,satfin,finalter,ballot,income16
2021,18,Pretty happy,.i:  Inapplicable,Good,Exciting,More or less satisfied,Worse,Ballot c,$110000 TO $129999
2021,19,Not too happy,.i:  Inapplicable,Fair,Dull,More or less satisfied,Stayed same,Ballot c,$20000 TO 22499
2021,21,Not too happy,PRETTY HAPPY,Fair,Routine,More or less satisfied,Stayed same,Ballot c,.d:  Do not Know/Cannot Choose
2021,22,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$25000 TO 29999
2021,23,Pretty happy,.i:  Inapplicable,Good,Exciting,More or less satisfied,Better,Ballot a,$75000 TO $89999
2021,24,Very happy,.i:  Inapplicable,Excellent,Exciting,Pretty well satisfied,Stayed same,Ballot c,.r:  Refused
2021,25,Pretty happy,.i:  Inapplicable,Fair,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$150000 TO $169999
2021,26,Pretty happy,VERY HAPPY,Excellent,Routine,Not satisfied at all,Worse,Ballot c,$170000 OR OVER
2021,27,Not too happy,.i:  Inapplicable,Poor,Exciting,Not satisfied at all,Worse,Ballot c,$8 000 TO 9 999
2021,28,Pretty happy,PRETTY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot a,$150000 TO $169999
2021,29,Not too happy,PRETTY HAPPY,Good,.i:  Inapplicable,Not satisfied at all,Stayed same,Ballot b,$60000 TO 74999
2021,30,Pretty happy,VERY HAPPY,Good,Exciting,Pretty well satisfied,Better,Ballot c,$75000 TO $89999
2021,31,Very happy,VERY HAPPY,Excellent,Routine,More or less satisfied,Better,Ballot a,$170000 OR OVER
2021,32,Not too happy,.i:  Inapplicable,Fair,.i:  Inapplicable,Not satisfied at all,Worse,Ballot b,.d:  Do not Know/Cannot Choose
2021,35,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$50000 TO 59999
2021,36,Not too happy,VERY HAPPY,Fair,Exciting,More or less satisfied,Better,Ballot a,$60000 TO 74999
2021,37,Pretty happy,.i:  Inapplicable,Fair,Routine,Pretty well satisfied,Better,Ballot a,$170000 OR OVER
2021,38,Pretty happy,.i:  Inapplicable,Good,Routine,Pretty well satisfied,Better,Ballot a,$60000 TO 74999
2021,39,Pretty happy,.i:  Inapplicable,Excellent,Routine,More or less satisfied,Better,Ballot c,$150000 TO $169999
2021,40,Not too happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Better,Ballot c,$90000 TO $109999
2021,41,Pretty happy,.i:  Inapplicable,Excellent,.i:  Inapplicable,More or less satisfied,Worse,Ballot b,$75000 TO $89999
2021,42,Not too happy,.i:  Inapplicable,Good,Exciting,Not satisfied at all,Stayed same,Ballot c,$22500 TO 24999
2021,43,Pretty happy,.i:  Inapplicable,Fair,Routine,More or less satisfied,Worse,Ballot a,$90000 TO $109999
2021,44,Pretty happy,PRETTY HAPPY,Good,Routine,Pretty well satisfied,Better,Ballot a,.r:  Refused
2021,45,Pretty happy,.i:  Inapplicable,Fair,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$90000 TO $109999
2021,46,Pretty happy,PRETTY HAPPY,Good,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
2021,47,Very happy,VERY HAPPY,Excellent,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$130000 TO $149999
2021,48,Not too happy,.i:  Inapplicable,Good,Routine,Not satisfied at all,Worse,Ballot c,$10000 TO 12499
2021,49,Not too happy,PRETTY HAPPY,Excellent,Routine,More or less satisfied,Stayed same,Ballot c,$170000 OR OVER
2021,50,Pretty happy,.i:  Inapplicable,Good,Routine,Not satisfied at all,Better,Ballot c,.d:  Do not Know/Cannot Choose
2021,51,Very happy,.i:  Inapplicable,Good,Exciting,Not satisfied at all,Better,Ballot a,.d:  Do not Know/Cannot Choose
2021,52,Not too happy,.i:  Inapplicable,Fair,Routine,Not satisfied at all,Worse,Ballot c,$15000 TO 17499
2021,53,Not too happy,.i:  Inapplicable,Fair,.i:  Inapplicable,More or less satisfied,Better,Ballot b,$40000 TO 49999
2021,54,Pretty happy,VERY HAPPY,Fair,Routine,Not satisfied at all,Better,Ballot a,$110000 TO $129999
2021,56,Pretty happy,PRETTY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot c,$170000 OR OVER
2021,57,Pretty happy,PRETTY HAPPY,Excellent,Routine,More or less satisfied,Worse,Ballot c,$22500 TO 24999
2021,59,Pretty happy,.i:  Inapplicable,Fair,Routine,More or less satisfied,Better,Ballot c,$50000 TO 59999
2021,60,.s:  Skipped on Web,.i:  Inapplicable,Excellent,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
2021,61,Not too happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Stayed same,Ballot c,$50000 TO 59999
2021,62,Pretty happy,.i:  Inapplicable,Fair,Routine,More or less satisfied,Stayed same,Ballot a,$40000 TO 49999
2021,63,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,Not satisfied at all,Stayed same,Ballot b,$90000 TO $109999
2021,64,Pretty happy,PRETTY HAPPY,Excellent,Exciting,More or less satisfied,Stayed same,Ballot c,$22500 TO 24999
2021,65,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$25000 TO 29999
2021,66,Pretty happy,VERY HAPPY,Good,Exciting,Not satisfied at all,Better,Ballot c,$130000 TO $149999
2021,67,Not too happy,VERY HAPPY,Good,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$90000 TO $109999
2021,68,Not too happy,.i:  Inapplicable,Good,Dull,More or less satisfied,.d:  Do not Know/Cannot Choose,Ballot c,.d:  Do not Know/Cannot Choose
2021,69,Not too happy,PRETTY HAPPY,Fair,Exciting,More or less satisfied,Worse,Ballot a,$90000 TO $109999
2021,70,Pretty happy,PRETTY HAPPY,Good,Exciting,Not satisfied at all,Stayed same,Ballot a,$40000 TO 49999
2021,71,Not too happy,.i:  Inapplicable,Fair,.i:  Inapplicable,More or less satisfied,Worse,Ballot b,$30000 TO 34999
2021,72,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$30000 TO 34999
2021,74,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,Not satisfied at all,Worse,Ballot b,$40000 TO 49999
2021,75,Pretty happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Stayed same,Ballot c,$30000 TO 34999
2021,76,Not too happy,.i:  Inapplicable,Excellent,.i:  Inapplicable,Not satisfied at all,Stayed same,Ballot b,.d:  Do not Know/Cannot Choose
2021,77,Not too happy,VERY HAPPY,Fair,Routine,More or less satisfied,Stayed same,Ballot a,$150000 TO $169999
2021,78,Very happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Better,Ballot b,$90000 TO $109999
2021,79,Very happy,VERY HAPPY,Excellent,Exciting,Pretty well satisfied,Better,Ballot a,$60000 TO 74999
2021,80,Not too happy,VERY HAPPY,Good,Exciting,More or less satisfied,Stayed same,Ballot c,$130000 TO $149999
2021,81,Very happy,VERY HAPPY,Excellent,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$60000 TO 74999
2021,82,Pretty happy,.i:  Inapplicable,Fair,Routine,More or less satisfied,Better,Ballot a,$60000 TO 74999
2021,83,Pretty happy,VERY HAPPY,Good,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$60000 TO 74999
2021,84,Pretty happy,PRETTY HAPPY,Good,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$60000 TO 74999
2021,85,Pretty happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Stayed same,Ballot c,$25000 TO 29999
2021,86,Not too happy,.i:  Inapplicable,Excellent,Routine,Pretty well satisfied,Better,Ballot c,$90000 TO $109999
2021,88,Not too happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Better,Ballot a,.d:  Do not Know/Cannot Choose
2021,89,Not too happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Stayed same,Ballot c,$20000 TO 22499
2021,90,Not too happy,.i:  Inapplicable,Fair,Routine,Not satisfied at all,Stayed same,Ballot c,$50000 TO 59999
2021,91,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,.d:  Do not Know/Cannot Choose
2021,92,Not too happy,.i:  Inapplicable,Excellent,Exciting,More or less satisfied,Stayed same,Ballot a,$10000 TO 12499
2021,93,Pretty happy,PRETTY HAPPY,Fair,Exciting,Pretty well satisfied,Stayed same,Ballot c,$170000 OR OVER
2021,94,Pretty happy,VERY HAPPY,Excellent,Exciting,Pretty well satisfied,Stayed same,Ballot a,$170000 OR OVER
2021,95,Very happy,VERY HAPPY,Excellent,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
2021,96,Pretty happy,PRETTY HAPPY,Good,Routine,Not satisfied at all,Stayed same,Ballot a,$10000 TO 12499
2021,97,Very happy,.i:  Inapplicable,Fair,.i:  Inapplicable,More or less satisfied,Worse,Ballot b,$150000 TO $169999
2021,98,Pretty happy,.i:  Inapplicable,Poor,Dull,More or less satisfied,Better,Ballot a,.d:  Do not Know/Cannot Choose
2021,99,Pretty happy,.i:  Inapplicable,Good,Exciting,More or less satisfied,Better,Ballot a,$40000 TO 49999
2021,100,Pretty happy,VERY HAPPY,Excellent,Routine,Pretty well satisfied,Better,Ballot c,$170000 OR OVER
2021,101,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Better,Ballot b,$20000 TO 22499
2021,102,Pretty happy,PRETTY HAPPY,Fair,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$90000 TO $109999
2021,103,Not too happy,.s:  Skipped on Web,Excellent,.i:  Inapplicable,More or less satisfied,Better,Ballot b,$130000 TO $149999
2021,104,Pretty happy,PRETTY HAPPY,Fair,Exciting,Pretty well satisfied,Better,Ballot a,$170000 OR OVER
2021,105,Pretty happy,.i:  Inapplicable,Fair,Routine,More or less satisfied,Worse,Ballot c,$50000 TO 59999
2021,106,Very happy,VERY HAPPY,Good,Exciting,Pretty well satisfied,Better,Ballot c,$150000 TO $169999
2021,107,Pretty happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Stayed same,Ballot a,$130000 TO $149999
2021,108,Pretty happy,VERY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot a,$25000 TO 29999
2021,109,Very happy,VERY HAPPY,Good,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$12500 TO 14999
2021,111,Very happy,VERY HAPPY,Good,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$90000 TO $109999
2021,113,Very happy,.i:  Inapplicable,Excellent,Routine,More or less satisfied,Stayed same,Ballot c,.d:  Do not Know/Cannot Choose
2021,114,Very happy,.i:  Inapplicable,Good,Routine,Pretty well satisfied,Better,Ballot a,$150000 TO $169999
2021,115,Pretty happy,VERY HAPPY,Excellent,Exciting,Pretty well satisfied,Better,Ballot c,$170000 OR OVER
2021,116,Pretty happy,.i:  Inapplicable,Excellent,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$110000 TO $129999
2021,117,Very happy,PRETTY HAPPY,Excellent,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
2021,118,Pretty happy,PRETTY HAPPY,Good,Routine,Pretty well satisfied,Better,Ballot a,$170000 OR OVER
2021,119,Pretty happy,VERY HAPPY,Good,Exciting,More or less satisfied,Stayed same,Ballot c,$110000 TO $129999
2021,120,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,Not satisfied at all,Stayed same,Ballot b,$50000 TO 59999
2021,121,Pretty happy,PRETTY HAPPY,Good,Exciting,More or less satisfied,Stayed same,Ballot a,$150000 TO $169999
2021,122,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$35000 TO 39999
2021,123,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$60000 TO 74999
2021,124,Pretty happy,VERY HAPPY,Excellent,Routine,Pretty well satisfied,Better,Ballot a,$170000 OR OVER
2021,125,Pretty happy,.i:  Inapplicable,Excellent,Exciting,Not satisfied at all,Stayed same,Ballot c,$90000 TO $109999
2021,126,.s:  Skipped on Web,.s:  Skipped on Web,.s:  Skipped on Web,.s:  Skipped on Web,.s:  Skipped on Web,Stayed same,Ballot a,.s:  Skipped on Web
2021,127,Very happy,VERY HAPPY,Good,Routine,More or less satisfied,Worse,Ballot a,$75000 TO $89999
2021,128,Pretty happy,VERY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot a,UNDER $1 000
2021,130,Pretty happy,.i:  Inapplicable,Excellent,Routine,More or less satisfied,Stayed same,Ballot c,$60000 TO 74999
2021,131,Pretty happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Stayed same,Ballot a,$150000 TO $169999
2021,132,Very happy,.i:  Inapplicable,Good,Exciting,More or less satisfied,Worse,Ballot a,$20000 TO 22499
2021,135,Pretty happy,VERY HAPPY,Excellent,Routine,Pretty well satisfied,Stayed same,Ballot a,$150000 TO $169999
2021,136,Pretty happy,PRETTY HAPPY,Fair,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$170000 OR OVER
2021,137,Not too happy,.i:  Inapplicable,Fair,Routine,Not satisfied at all,Stayed same,Ballot a,$75000 TO $89999
2021,138,Pretty happy,VERY HAPPY,Good,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$75000 TO $89999
2021,139,Pretty happy,.i:  Inapplicable,Excellent,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$75000 TO $89999
2021,140,Pretty happy,.i:  Inapplicable,Excellent,Routine,More or less satisfied,Better,Ballot c,$170000 OR OVER
2021,142,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$170000 OR OVER
2021,143,Pretty happy,PRETTY HAPPY,Good,Routine,Pretty well satisfied,Better,Ballot a,$170000 OR OVER
2021,144,Very happy,VERY HAPPY,Excellent,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
2021,145,Pretty happy,VERY HAPPY,Excellent,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
2021,146,Pretty happy,PRETTY HAPPY,Excellent,Exciting,Pretty well satisfied,Stayed same,Ballot a,$170000 OR OVER
2021,147,Pretty happy,.i:  Inapplicable,Good,Dull,More or less satisfied,Better,Ballot a,$60000 TO 74999
2021,148,Pretty happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Stayed same,Ballot c,$50000 TO 59999
2021,149,Pretty happy,VERY HAPPY,Good,Routine,Pretty well satisfied,Stayed same,Ballot a,$90000 TO $109999
2021,150,Pretty happy,.i:  Inapplicable,Fair,Routine,More or less satisfied,Stayed same,Ballot c,$10000 TO 12499
2021,151,Not too happy,.i:  Inapplicable,Good,Routine,Not satisfied at all,Stayed same,Ballot a,$60000 TO 74999
2021,152,Not too happy,PRETTY HAPPY,Poor,Routine,Not satisfied at all,Better,Ballot c,$110000 TO $129999
2021,153,Very happy,VERY HAPPY,Good,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$90000 TO $109999
2021,154,Pretty happy,.i:  Inapplicable,Fair,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
2021,155,Pretty happy,VERY HAPPY,Good,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$110000 TO $129999
2021,156,Not too happy,.i:  Inapplicable,Fair,Dull,More or less satisfied,Worse,Ballot c,$25000 TO 29999
2021,158,Very happy,VERY HAPPY,Excellent,Exciting,Pretty well satisfied,Better,Ballot a,$150000 TO $169999
2021,159,Pretty happy,.i:  Inapplicable,Good,Exciting,Not satisfied at all,Worse,Ballot a,$1 000 TO 2 999
2021,160,Pretty happy,PRETTY HAPPY,Excellent,Exciting,More or less satisfied,Better,Ballot c,$150000 TO $169999
2021,161,Not too happy,PRETTY HAPPY,Good,Exciting,Pretty well satisfied,Better,Ballot c,$90000 TO $109999
2021,162,Very happy,VERY HAPPY,Fair,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,.d:  Do not Know/Cannot Choose
2021,163,Not too happy,VERY HAPPY,Good,Routine,Not satisfied at all,Worse,Ballot c,$12500 TO 14999
2021,164,Not too happy,.i:  Inapplicable,Fair,Routine,Pretty well satisfied,Better,Ballot c,$60000 TO 74999
2021,165,Pretty happy,.i:  Inapplicable,Good,Exciting,Not satisfied at all,Worse,Ballot a,$17500 TO 19999
2021,166,Not too happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Worse,Ballot a,$30000 TO 34999
2021,167,Pretty happy,VERY HAPPY,Good,Routine,Pretty well satisfied,Stayed same,Ballot c,.d:  Do not Know/Cannot Choose
2021,168,Pretty happy,PRETTY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot a,$60000 TO 74999
2021,169,Pretty happy,.i:  Inapplicable,Good,Dull,Not satisfied at all,Stayed same,Ballot a,$60000 TO 74999
2021,170,Pretty happy,VERY HAPPY,Poor,.i:  Inapplicable,Not satisfied at all,Stayed same,Ballot b,$12500 TO 14999
2021,171,Pretty happy,PRETTY HAPPY,Poor,.i:  Inapplicable,More or less satisfied,Better,Ballot b,$6 000 TO 6 999
2021,172,Pretty happy,.i:  Inapplicable,Fair,Exciting,Not satisfied at all,Worse,Ballot a,$90000 TO $109999
2021,173,Pretty happy,PRETTY HAPPY,Fair,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$90000 TO $109999
2021,174,Very happy,VERY HAPPY,Excellent,Exciting,Not satisfied at all,Worse,Ballot a,$10000 TO 12499
2021,175,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$75000 TO $89999
2021,176,Very happy,VERY HAPPY,Fair,Exciting,Pretty well satisfied,Stayed same,Ballot a,$150000 TO $169999
2021,177,Very happy,VERY HAPPY,Good,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$60000 TO 74999
2021,179,Pretty happy,PRETTY HAPPY,Fair,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$50000 TO 59999
2021,181,Pretty happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Better,Ballot a,$110000 TO $129999
2021,182,Pretty happy,.i:  Inapplicable,Good,Exciting,More or less satisfied,Stayed same,Ballot a,.s:  Skipped on Web
2021,183,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$130000 TO $149999
2021,184,Very happy,PRETTY HAPPY,Good,Exciting,More or less satisfied,Stayed same,Ballot a,.d:  Do not Know/Cannot Choose
2021,185,Pretty happy,.i:  Inapplicable,Good,Routine,Not satisfied at all,Stayed same,Ballot c,$30000 TO 34999
2021,187,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Better,Ballot b,$60000 TO 74999
2021,188,Pretty happy,PRETTY HAPPY,Good,.i:  Inapplicable,More or less satisfied,Worse,Ballot b,$15000 TO 17499
2021,189,Pretty happy,VERY HAPPY,Excellent,Exciting,Not satisfied at all,Worse,Ballot a,$130000 TO $149999
2021,190,Not too happy,.i:  Inapplicable,Poor,Routine,Not satisfied at all,Worse,Ballot c,$10000 TO 12499
2021,192,Not too happy,NOT TOO HAPPY,Fair,Routine,More or less satisfied,Stayed same,Ballot a,$110000 TO $129999
2021,194,Pretty happy,PRETTY HAPPY,Good,Routine,Pretty well satisfied,Better,Ballot a,$130000 TO $149999
2021,195,Very happy,VERY HAPPY,Excellent,Exciting,Pretty well satisfied,Better,Ballot c,$170000 OR OVER
2021,196,Pretty happy,VERY HAPPY,Good,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
2021,198,Not too happy,.i:  Inapplicable,Good,Routine,Not satisfied at all,Stayed same,Ballot c,.s:  Skipped on Web
2021,199,Pretty happy,VERY HAPPY,Good,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$170000 OR OVER
2021,201,Pretty happy,VERY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot c,$75000 TO $89999
2021,202,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$75000 TO $89999
2021,203,Pretty happy,PRETTY HAPPY,Good,Exciting,Pretty well satisfied,Better,Ballot c,$170000 OR OVER
2021,205,Not too happy,.i:  Inapplicable,Fair,Dull,Not satisfied at all,Better,Ballot c,UNDER $1 000
2021,206,Pretty happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Better,Ballot c,$15000 TO 17499
2021,207,Not too happy,.i:  Inapplicable,Fair,.i:  Inapplicable,Not satisfied at all,Stayed same,Ballot b,$6 000 TO 6 999
2021,208,Pretty happy,.i:  Inapplicable,Fair,Routine,More or less satisfied,Better,Ballot c,.s:  Skipped on Web
2021,209,Very happy,VERY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot a,$90000 TO $109999
2021,210,Not too happy,.i:  Inapplicable,Fair,Dull,More or less satisfied,Stayed same,Ballot c,$20000 TO 22499
2021,211,Pretty happy,VERY HAPPY,Excellent,Routine,More or less satisfied,Better,Ballot a,$60000 TO 74999
2021,213,Not too happy,.i:  Inapplicable,Fair,Routine,More or less satisfied,Stayed same,Ballot c,$50000 TO 59999
2021,214,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Stayed same,Ballot b,$50000 TO 59999
2021,215,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,Not satisfied at all,.s:  Skipped on Web,Ballot b,.s:  Skipped on Web
2021,216,.s:  Skipped on Web,PRETTY HAPPY,Good,Routine,Pretty well satisfied,Better,Ballot a,$60000 TO 74999
2021,217,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,Pretty well satisfied,Stayed same,Ballot b,$40000 TO 49999
2021,218,Very happy,PRETTY HAPPY,Fair,Routine,More or less satisfied,Stayed same,Ballot c,$25000 TO 29999
2021,219,Pretty happy,VERY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot a,.d:  Do not Know/Cannot Choose
2021,220,Not too happy,.i:  Inapplicable,Good,Dull,Not satisfied at all,Stayed same,Ballot c,$35000 TO 39999
2021,221,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,Not satisfied at all,Worse,Ballot b,$40000 TO 49999
2021,222,Not too happy,.i:  Inapplicable,Fair,Exciting,Not satisfied at all,Better,Ballot c,$50000 TO 59999
2021,223,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,Not satisfied at all,Stayed same,Ballot b,$40000 TO 49999
2021,224,Pretty happy,.i:  Inapplicable,Excellent,Exciting,More or less satisfied,Better,Ballot a,$60000 TO 74999
2021,225,Very happy,VERY HAPPY,Fair,.i:  Inapplicable,Not satisfied at all,Worse,Ballot b,$17500 TO 19999
2021,226,Not too happy,.i:  Inapplicable,Good,Routine,Not satisfied at all,Worse,Ballot a,$50000 TO 59999
2021,227,Not too happy,.i:  Inapplicable,Poor,Routine,Not satisfied at all,Worse,Ballot c,$8 000 TO 9 999
2021,229,Not too happy,.i:  Inapplicable,Good,Routine,Not satisfied at all,Worse,Ballot c,$8 000 TO 9 999
2021,230,Very happy,.i:  Inapplicable,Good,Exciting,Not satisfied at all,Better,Ballot a,$4 000 TO 4 999
2021,231,Pretty happy,VERY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot a,$90000 TO $109999
2021,232,Not too happy,.i:  Inapplicable,Good,.i:  Inapplicable,Not satisfied at all,Better,Ballot b,$3 000 TO 3 999
2021,233,Not too happy,VERY HAPPY,Excellent,Exciting,Pretty well satisfied,Stayed same,Ballot c,$170000 OR OVER
2021,234,.s:  Skipped on Web,.i:  Inapplicable,Fair,.i:  Inapplicable,Not satisfied at all,Stayed same,Ballot b,$12500 TO 14999
2021,235,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,More or less satisfied,Better,Ballot b,$90000 TO $109999
2021,236,Very happy,NOT TOO HAPPY,Excellent,Exciting,Pretty well satisfied,Stayed same,Ballot a,$170000 OR OVER
2021,237,Not too happy,PRETTY HAPPY,Fair,Routine,More or less satisfied,Stayed same,Ballot c,$170000 OR OVER
2021,238,Pretty happy,PRETTY HAPPY,Fair,Routine,More or less satisfied,Stayed same,Ballot c,$35000 TO 39999
2021,239,Not too happy,PRETTY HAPPY,Fair,Exciting,More or less satisfied,Stayed same,Ballot a,$170000 OR OVER
2021,240,Very happy,.i:  Inapplicable,Excellent,Exciting,.s:  Skipped on Web,.s:  Skipped on Web,Ballot c,.s:  Skipped on Web
2021,241,Pretty happy,VERY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot c,$130000 TO $149999
2021,242,Not too happy,NOT TOO HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot a,$130000 TO $149999
2021,243,Very happy,VERY HAPPY,Fair,Exciting,Pretty well satisfied,Better,Ballot a,UNDER $1 000
2021,244,Pretty happy,.i:  Inapplicable,Fair,.i:  Inapplicable,More or less satisfied,Worse,Ballot b,$25000 TO 29999
2021,245,Pretty happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Worse,Ballot a,.d:  Do not Know/Cannot Choose
2021,246,Pretty happy,.n:  No answer,Good,Routine,Pretty well satisfied,Stayed same,Ballot c,$50000 TO 59999
2021,247,Pretty happy,VERY HAPPY,Fair,.i:  Inapplicable,Not satisfied at all,Worse,Ballot b,$1 000 TO 2 999
2021,248,Not too happy,.i:  Inapplicable,Good,Routine,More or less satisfied,Stayed same,Ballot a,.d:  Do not Know/Cannot Choose
